winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Radikon,Slatnik 2018,Italy,Friuli-Venezia Giulia,4.3,26,https://www.vivino.com/radikon-slatnik/w/1545998?year=2018&price_id=21479699
La Stoppa,Ageno 2015,Italy,Emilia,4.2,292,https://www.vivino.com/la-stoppa-ageno/w/1181970?year=2015&price_id=21529964
Colterenzio (Schreckbichl),Pfefferer 2019,Italy,Trentino-Alto Adige,4.2,858,https://www.vivino.com/produttori-colterenzio-pfefferer/w/11199?year=2019&price_id=20708169
Craggy Range,Sauvignon Blanc 2019,New Zealand,Marlborough,4.2,655,https://www.vivino.com/craggy-range-sauvignon-blanc-marlborough-white-wine/w/5388702?year=2019&price_id=20360914
Tramin,Stoan 2016,Italy,Südtirol - Alto Adige,4.2,581,https://www.vivino.com/tramin-stoan-alto-adige/w/2055461?year=2016&price_id=14781984
Vie di Romans,Dessimis Pinot Grigio 2017,Italy,Friuli Isonzo,4.2,456,https://www.vivino.com/vie-di-romans-vineyards-dessimis-pinot-grigio/w/1084875?year=2017&price_id=18843747
Greywacke,Wild Sauvignon 2011,New Zealand,Marlborough,4.2,326,https://www.vivino.com/greywacke-kevin-judd-wild-sauvignon/w/1756010?year=2011&price_id=20626586
Cà dei Frati,I Frati Lugana 2019,Italy,Lugana,4.2,2650,https://www.vivino.com/ca-dei-frati-i-frati-lugana/w/1136902?year=2019&price_id=21129982
Terras Gauda,Terras Gauda O Rosal 2019,Spain,Rías Baixas,4.2,216,https://www.vivino.com/terras-gauda-terras-gauda-o-rosal/w/3704?year=2019&price_id=20495191
Vie di Romans,Vieris Sauvignon Blanc 2017,Italy,Friuli Isonzo,4.2,193,https://www.vivino.com/vie-di-romans-vineyards-vieris-sauvignon-blanc/w/79537?year=2017&price_id=21378049
José Pariente,Sauvignon Blanc 2019,Spain,Rueda,4.2,191,https://www.vivino.com/jose-pariente-sauvignon-blanc/w/21218?year=2019&price_id=20780306
Raúl Pérez,Atalier 2018,Spain,Rías Baixas,4.2,176,https://www.vivino.com/raul-perez-atalier/w/6148206?year=2018&price_id=19201282
J.M. Boillot,Mâcon-Villages 2015,France,Mâcon-Villages,4.2,174,https://www.vivino.com/jm-boillot-macon-villages/w/2529899?year=2015&price_id=13080028
Donnafugata,Sul Vulcano Etna Bianco 2017,Italy,Etna,4.2,173,https://www.vivino.com/donnafugata-sul-vulcano-etna-bianco-etna/w/6334373?year=2017&price_id=19359321
Gramona,Gessami Penedès Blanco 2019,Spain,Penedès,4.2,168,https://www.vivino.com/gramona-gessami-penedes-blanco/w/1781951?year=2019&price_id=20403052
Cenatiempo,Kalimera 2017,Italy,Ischia,4.2,167,https://www.vivino.com/cenatiempo-d-ischia-kalimera/w/4561749?year=2017&price_id=20010269
Velich,TO 2016,Austria,Burgenland,4.2,143,https://www.vivino.com/velich-to/w/1126500?year=2016&price_id=17452541
