winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Joh. Jos. Prüm,Graacher Himmelreich Riesling Kabinett 2018,Germany,Graach,4.2,142,https://www.vivino.com/joh-jos-prum-graacher-himmelreich-riesling-kabinett/w/1604769?year=2018&price_id=21202502
Tramin,Nussbaumer Gewürztraminer 2018,Italy,Südtirol - Alto Adige,4.2,138,https://www.vivino.com/tramin-nussbaumer-gewurztraminer/w/93033?year=2018&price_id=21667513
Idiom,Viognier 2016,South Africa,Stellenbosch,4.2,107,https://www.vivino.com/idiom-viognier/w/1422537?year=2016&price_id=18190559
Jean Marie Berrux,Le Petit Têtu Bourgogne Chardonnay 2017,France,Bourgogne,4.2,104,https://www.vivino.com/jean-marie-berrux-le-petit-tetu-bourgogne-chardonnay/w/3872969?year=2017&price_id=18356174
Le Coste,Bianchetto 2018,Italy,Lazio,4.2,102,https://www.vivino.com/it-le-coste-bianchetto/w/2269298?year=2018&price_id=20302265
Palacios Remondo,Rioja Plácet Valtomelloso 2018,Spain,Rioja,4.2,90,https://www.vivino.com/palacios-remondo-rioja-placet-valtomelloso/w/1220246?year=2018&price_id=19981390
Ca' Lojera,Lugana Riserva del Lupo 2016,Italy,Lugana,4.2,83,https://www.vivino.com/ca-lojera-lugana-riserva-del-lupo/w/1163560?year=2016&price_id=20573852
Santadi,Villa Di Chiesa Valli di Porto Pino 2017,Italy,Valli di Porto Pino,4.2,77,https://www.vivino.com/cantina-di-santadi-villa-di-chiesa-valli-di-porto-pino/w/1667683?year=2017&price_id=19767040
François Cazin - Le Petit Chambord,Cheverny Blanc 2018,France,Cheverny,4.2,72,https://www.vivino.com/franoois-cazin-cheverny-blanc/w/1633345?year=2018&price_id=19137593
Shaya,Habis 2017,Spain,Rueda,4.2,69,https://www.vivino.com/shaya-habis/w/1197819?year=2017&price_id=17038834
Picech Roberto,Atto Unico 2018,Italy,Friuli-Venezia Giulia,4.2,66,https://www.vivino.com/picech-collio-atto-unico/w/7373678?year=2018&price_id=19839176
Guillemot-Michel,Quintaine Viré-Clessé 2017,France,Viré-Clessé,4.2,62,https://www.vivino.com/guillemot-michel-quintaine-vire-clesse/w/1552671?year=2017&price_id=20495190
Barraco,Zibibbo 2017,Italy,Sicilia,4.2,62,https://www.vivino.com/barraco-zibibbo/w/1444954?year=2017&price_id=21562785
Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albariño 2018,Spain,Rías Baixas,4.2,55,https://www.vivino.com/do-ferreiro-cepas-vellas-rias-baixas-albarino/w/1191728?year=2018&price_id=18603046
Man O' War,Valhalla 2018,New Zealand,Waiheke Island,4.2,51,https://www.vivino.com/man-o-war-valhalla/w/1125555?year=2018&price_id=20119064
Martí Fabra,Masia Carreras Empordà Blanco 2017,Spain,Empordà,4.2,50,https://www.vivino.com/celler-marti-fabra-masia-carreras-emporda-blanco/w/2078469?year=2017&price_id=20743286
Pride Mountain Vineyards,Viognier 2018,United States,Sonoma County,4.2,47,https://www.vivino.com/pride-mountain-vineyards-viognier/w/1760731?year=2018&price_id=21251483
Feudo Disisa,Lu Bancu Catarratto 2018,Italy,Terre Siciliane,4.2,47,https://www.vivino.com/feudo-disisa-lu-bancu-catarratto-sicily/w/5822032?year=2018&price_id=20228883
Cantina Giardino,Paski Coda di Volpe 2018,Italy,Campania,4.2,39,https://www.vivino.com/giardino-paski-coda-di-volpe/w/1637557?year=2018&price_id=20922269
Picollo Ernesto,Rovereto Gavi 2019,Italy,Gavi,4.2,37,https://www.vivino.com/picollo-ernesto-rovereto-gavi/w/2061878?year=2019&price_id=21638876
Pago de Vallegarcía,Vallegarcia Viognier 2018,Spain,Castilla,4.2,37,https://www.vivino.com/pago-de-vallegarcia-vallegarcia-viognier/w/1144208?year=2018&price_id=20743302
Rémy Gresser,Gewurztraminer 'Kritt' 2017,France,Alsace,4.2,36,https://www.vivino.com/remy-gresser-gewurztraminer-kritt/w/1160622?year=2017&price_id=18648692
Vinícola Real,Cueva del Monge Blanco 2015,Spain,Rioja,4.2,34,https://www.vivino.com/es-vinicola-real-cueva-del-monge-blanco/w/1149001?year=2015&price_id=13080097
Zidarich,Prulke 2017,Italy,Friuli-Venezia Giulia,4.2,30,https://www.vivino.com/zidarich-prulke/w/1160085?year=2017&price_id=21364356
Edoardo Miroglio,Muscat Ottonel 2017,Bulgaria,Thracian Valley,4.2,28,https://www.vivino.com/edoardo-miroglio-muscat-ottonel/w/2174943?year=2017&price_id=18380636
Castello di Torre In Pietra,Macchia Sacra 2017,Italy,Lazio,4.2,28,https://www.vivino.com/castello-di-torre-pietra-macchia-sacra/w/1158071?year=2017&price_id=18275079
Dönnhoff,Niederhäuser Klamm Riesling Kabinett 2018,Germany,Nahe,4.2,27,https://www.vivino.com/donnhoff-niederhauser-klamm-riesling-kabinett/w/7351908?year=2018&price_id=20493204
Vignai da Duline,Pinot Grigio 2018,Italy,Colli Orientali del Friuli,4.2,27,https://www.vivino.com/vignai-da-duline-pinot-grigio/w/2061377?year=2018&price_id=21640607
Il Colombaio di Santachiara,Selvabianca Vernaccia di San Gimignano 2019,Italy,Vernaccia di San Gimignano,4.2,27,https://www.vivino.com/il-colombaio-di-santachiara-selvabianca-vernaccia-di-san-gimignano/w/1270466?year=2019&price_id=21418223
Benito Ferrara,Vigna Cicogna Greco di Tufo 2018,Italy,Greco di Tufo,4.1,434,https://www.vivino.com/benito-ferrara-vigna-cicogna-greco-di-tufo/w/1211988?year=2018&price_id=18649027
Cloudy Bay,Sauvignon Blanc 2019,New Zealand,Marlborough,4.1,2235,https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2019&price_id=20078153
Schloss Johannisberg,Gelblack Riesling Trocken 2018,Germany,Rheingau,4.1,1468,https://www.vivino.com/schloss-johannisberg-gelblack-riesling-trocken/w/2130558?year=2018&price_id=21202503
San Marzano,EDDA Bianco 2018,Italy,Salento,4.1,951,https://www.vivino.com/san-marzano-edda-bianco/w/3853221?year=2018&price_id=19299581
Babich,Black Label Sauvignon Blanc 2018,New Zealand,Marlborough,4.1,932,https://www.vivino.com/babich-wines-limited-black-label-sauvignon-blanc/w/2002401?year=2018&price_id=19655336
Marqués de Murrieta,Capellanía 2014,Spain,Rioja,4.1,772,https://www.vivino.com/marques-de-murrieta-capellania/w/1173806?year=2014&price_id=17066022
Pieropan,La Rocca Soave Classico 2016,Italy,Soave Classico,4.1,705,https://www.vivino.com/pieropan-la-rocca-soave-classico/w/22945?year=2016&price_id=18007719
St. Michael-Eppan,Sanct Valentin Sauvignon 2018,Italy,Südtirol - Alto Adige,4.1,651,https://www.vivino.com/st-michael-eppan-sanct-valentin-sauvignon/w/1644452?year=2018&price_id=18648519
Terras Gauda,Abadía de San Campio 2019,Spain,Rías Baixas,4.1,643,https://www.vivino.com/terras-gauda-abadia-de-san-campio/w/1728926?year=2019&price_id=20780338
Castello Pomino,Benefizio Riserva Pomino Bianco 2015,Italy,Pomino,4.1,504,https://www.vivino.com/castello-pomino-benefizio-riserva-pomino-bianco/w/1127204?year=2015&price_id=11133025
Greywacke,Sauvignon Blanc 2012,New Zealand,Marlborough,4.1,454,https://www.vivino.com/greywacke-kevin-judd-sauvignon-blanc/w/1128346?year=2012&price_id=20626577
Villa Maria,Private Bin Sauvignon Blanc 2019,New Zealand,Marlborough,4.1,2872,https://www.vivino.com/villa-maria-auckland-private-bin-sauvignon-blanc/w/39034?year=2019&price_id=21039449
Markus Molitor,Haus Klosterberg Riesling Trocken 2018,Germany,Mosel,4.1,429,https://www.vivino.com/de-markus-molitor-haus-klosterberg-riesling-trocken/w/1681175?year=2018&price_id=21535661
Alphonse Mellot,La Moussière Sancerre Blanc 2018,France,Sancerre,4.1,429,https://www.vivino.com/alphonse-mellot-la-moussiere-sancerre-blanc/w/1672202?year=2018&price_id=19645529
Saint Clair,Wairau Reserve Sauvignon Blanc 2017,New Zealand,Marlborough,4.1,426,https://www.vivino.com/saint-clair-wairau-reserve-sauvignon-blanc/w/1147263?year=2017&price_id=18393262
Dönnhoff,Oberhäuser Leistenberg Riesling Kabinett 2016,Germany,Nahe,4.1,411,https://www.vivino.com/donnhoff-oberhauser-leistenberg-riesling-kabinett/w/1150435?year=2016&price_id=13080665
Cà dei Frati,Brolettino Lugana 2018,Italy,Lugana,4.1,404,https://www.vivino.com/ca-dei-frati-brolettino-lugana/w/1221332?year=2018&price_id=19986622
Château de Tracy,Mademoiselle de T Pouilly-Fumé 2018,France,Pouilly-Fumé,4.1,402,https://www.vivino.com/chateau-de-tracy-mademoiselle-de-t-pouilly-fume/w/1253140?year=2018&price_id=21516538
Villa Maria,Clifford Bay Reserve Sauvignon Blanc 2018,New Zealand,Marlborough,4.1,396,https://www.vivino.com/villa-maria-auckland-clifford-bay-reserve-sauvignon-blanc/w/23977?year=2018&price_id=17489593
J. Hofstätter,Kolbenhof Gewürztraminer 2014,Italy,Südtirol - Alto Adige,4.1,379,https://www.vivino.com/j-hofstatter-kolbenhof-gewurztraminer/w/9826?year=2014&price_id=11159553
Saint Clair,Wairau Reserve Sauvignon Blanc 2018,New Zealand,Marlborough,4.1,365,https://www.vivino.com/saint-clair-wairau-reserve-sauvignon-blanc/w/1147263?year=2018&price_id=17673805
Champalou,Vouvray 2018,France,Vouvray,4.1,354,https://www.vivino.com/champalou-vouvray/w/1172337?year=2018&price_id=20889899
Gut Oggau,Theodora 2018,Austria,Weinland,4.1,354,https://www.vivino.com/gut-oggau-theodora/w/1181890?year=2018&price_id=21129086
Michel Redde,Petit F 2018,France,Pouilly-Fumé,4.1,353,https://www.vivino.com/michel-redde-et-fils-petit-f/w/1100050?year=2018&price_id=20530144
Tenuta Sant'Antonio,Scaia Bianco (Garganega - Chardonnay) 2019,Italy,Veneto,4.1,346,https://www.vivino.com/tenuta-sant-antonio-scaia-bianco-garganega-chardonnay/w/1526704?year=2019&price_id=20823750
Te Mata,Cape Crest Sauvignon Blanc 2018,New Zealand,Hawke's Bay,4.1,334,https://www.vivino.com/te-mata-estate-winery-limited-cape-crest-sauvignon-blanc/w/93247?year=2018&price_id=19873028
Saint Clair,Omaka Reserve Chardonnay 2017,New Zealand,Marlborough,4.1,309,https://www.vivino.com/saint-clair-omaka-reserve-chardonnay/w/1443972?year=2017&price_id=19879743
Casa Rojo,La Marimorena Albariño 2018,Spain,Rías Baixas,4.1,297,https://www.vivino.com/casa-rojo-la-marimorena-albarino/w/2472031?year=2018&price_id=19311274
Niepoort,Douro Redoma Branco 2018,Portugal,Douro,4.1,294,https://www.vivino.com/niepoort-vinhos-sa-douro-redoma-branco/w/9001?year=2018&price_id=20586559
Tormaresca,Chardonnay Castel del Monte Pietrabianca 2018,Italy,Castel del Monte,4.1,262,https://www.vivino.com/tormaresca-srl-chardonnay-castel-del-monte-pietrabianca/w/61014?year=2018&price_id=19635809
Seven Daughters,Moscato 2016,Italy,Veneto,4.1,261,https://www.vivino.com/us-seven-daughters-moscato/w/1459454?year=2016&price_id=17482052
La Chablisienne,Chablis 1er Cru 'Fourchaume' 2016,France,Chablis 1er Cru 'Fourchaume',4.1,259,https://www.vivino.com/la-chablisienne-chablis-1er-cru-fourchaume/w/16624?year=2016&price_id=21045655
Cusumano,Jalè (Tenuta Ficuzza) 2017,Italy,Sicilia,4.1,257,https://www.vivino.com/cusumano-jale-tenuta-ficuzza/w/71164?year=2017&price_id=18667663
Nicola Bergaglio,Minaia Gavi del Comune di Gavi Rovereto 2017,Italy,Gavi,4.1,245,https://www.vivino.com/nicola-bergaglio-minaia-gavi-del-comune-di-gavi-rovereto/w/2405667?year=2017&price_id=21217311
Pacherhof,Kerner 2018,Italy,Südtirol - Alto Adige,4.1,242,https://www.vivino.com/pacher-hof-kerner/w/1170319?year=2018&price_id=19506192
François Chidaine,Les Argiles Vouvray 2017,France,Vouvray,4.1,239,https://www.vivino.com/francois-chidaine-les-argiles-vouvray/w/1180104?year=2017&price_id=21251294
Barone di Serramarrocco,Quojane di Serramarrocco 2017,Italy,Terre Siciliane,4.1,235,https://www.vivino.com/barone-di-serramarrocco-quojane-di-serramarrocco/w/2226416?year=2017&price_id=16383870
Domaine Huet,Vouvray Le Haut-Lieu Sec 2016,France,Vouvray,4.1,224,https://www.vivino.com/huet-vouvray-le-haut-lieu-sec/w/17522?year=2016&price_id=12253247
Gérard Boulay,Sancerre à Chavignol Blanc 2018,France,Sancerre,4.1,209,https://www.vivino.com/gerard-boulay-sancerre-a-chavignol-blanc/w/1101354?year=2018&price_id=21063068
Greywacke,Wild Sauvignon 2010,New Zealand,Marlborough,4.1,200,https://www.vivino.com/greywacke-kevin-judd-wild-sauvignon/w/1756010?year=2010&price_id=20626594
Bodegas El Paraguas,Atlántico 2016,Spain,Ribeiro,4.1,200,https://www.vivino.com/es-bodegas-el-paraguas-atlantico/w/1895060?year=2016&price_id=15610818
Nativ,Suadens Campania Bianco 2018,Italy,Campania,4.1,186,https://www.vivino.com/nativ-suadens-campania-bianco/w/5568937?year=2018&price_id=21393301
Vie di Romans,Ciampagnis Chardonnay 2017,Italy,Friuli Isonzo,4.1,185,https://www.vivino.com/vie-di-romans-vineyards-ciampagnis-chardonnay/w/79530?year=2017&price_id=21378052
Robert-Denogent,La Croix Vieilles Vignes Pouilly-Fuissé 2016,France,Pouilly-Fuissé,4.1,172,https://www.vivino.com/domaine-robert-denogent-la-croix-vieilles-vignes-pouilly-fuisse/w/1705838?year=2016&price_id=21407708
Starborough,Sauvignon Blanc 2019,New Zealand,Marlborough,4.1,169,https://www.vivino.com/starborough-sauvignon-blanc/w/1679387?year=2019&price_id=19851159
Colterenzio (Schreckbichl),Perelise Gewürztraminer 2017,Italy,Südtirol - Alto Adige,4.1,169,https://www.vivino.com/produttori-colterenzio-perelise-gewurztraminer-sudtirol-alto-adige/w/4566799?year=2017&price_id=15634577
Antinori,Tenuta Guado al Tasso Vermentino Bolgheri 2019,Italy,Bolgheri,4.1,168,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-vermentino-bolgheri/w/1154225?year=2019&price_id=20755672
Marc Kreydenweiss,Wiebelsberg Grand Cru 2016,France,Alsace Grand Cru 'Wiebelsberg',4.1,164,https://www.vivino.com/marc-kreydenweiss-wiebelsberg-grand-cru/w/1126396?year=2016&price_id=17630498
Mar de Frades,Rías Baixas Albariño 2019,Spain,Rías Baixas,4.1,155,https://www.vivino.com/mar-de-frades-rias-baixas-albarino/w/1143504?year=2019&price_id=20942689
Minuty,Prestige Blanc 2018,France,Côtes de Provence,4.1,148,https://www.vivino.com/minuty-prestige-blanc/w/1655004?year=2018&price_id=18429921
Domaine Fouassier,Sancerre 'Les Romains' 2016,France,Sancerre,4.1,146,https://www.vivino.com/fouassier-sancerre-les-romains/w/1153188?year=2016&price_id=19022620
Manincor,Eichhorn Pinot Bianco 2017,Italy,Südtirol - Alto Adige,4.1,144,https://www.vivino.com/manincor-eichhorn-pinot-bianco/w/1560429?year=2017&price_id=16955247
Domaine du Colombier,Chablis Premier Cru 'Fourchaume' 2017,France,Chablis 1er Cru 'Fourchaume',4.1,138,https://www.vivino.com/domaine-du-colombier-chablis-premier-cru-chablis-premier-cru-fourchaume/w/1171224?year=2017&price_id=18790359
Marqués de Murrieta,Capellanía 2015,Spain,Rioja,4.1,134,https://www.vivino.com/marques-de-murrieta-capellania/w/1173806?year=2015&price_id=19743009
Bishop's Leap,Sauvignon Blanc 2019,New Zealand,Marlborough,4.1,116,https://www.vivino.com/bishops-leap-sauvignon-blanc/w/1156343?year=2019&price_id=20727398
Billaud-Simon,Chablis Tête d'Or 2017,France,Chablis,4.1,113,https://www.vivino.com/fr-billaud-simon-chablis-tete-d-or/w/1172948?year=2017&price_id=20834350
Terpin Franco,Quinto Quarto 2018,Italy,delle Venezie,4.1,109,https://www.vivino.com/terpin-franco-quinto-quarto/w/1315064?year=2018&price_id=19767047
Ignaz Niedrist,Südtirol Terlaner Sauvignon 2014,Italy,Südtirol - Alto Adige,4.1,108,https://www.vivino.com/ignaz-niedrist-sudtirol-terlaner-sauvignon/w/1810746?year=2014&price_id=11133311
Pacherhof,Riesling 2018,Italy,Südtirol - Alto Adige,4.1,104,https://www.vivino.com/pacher-hof-riesling/w/2848164?year=2018&price_id=19506193
Collovray & Terrier,Deux Roches Saint-Véran Tradition 2017,France,Saint-Véran,4.1,99,https://www.vivino.com/collovray-terrier-deux-roches-saint-veran-tradition/w/24414?year=2017&price_id=21010615
Panizzi,Vernaccia di San Gimignano Riserva 2014,Italy,Vernaccia di San Gimignano,4.1,98,https://www.vivino.com/panizzi-vernaccia-di-san-gimignano-riserva/w/1177785?year=2014&price_id=17806681
El Perro Verde,Rueda 2019,Spain,Rueda,4.1,96,https://www.vivino.com/el-perro-verde-rueda/w/1209669?year=2019&price_id=20608563
Michel Bouzereau,Bourgogne Chardonnay 2017,France,Bourgogne,4.1,96,https://www.vivino.com/michel-bouzereau-bourgogne-chardonnay/w/1507121?year=2017&price_id=19622992
Benito Ferrara,Terra d'Uva Greco di Tufo 2018,Italy,Greco di Tufo,4.1,95,https://www.vivino.com/benito-ferrara-terra-d-uva-greco-di-tufo/w/4379468?year=2018&price_id=21310225
Amisfield,Sauvignon Blanc 2018,New Zealand,Central Otago,4.1,95,https://www.vivino.com/amisfield-sauvignon-blanc/w/86257?year=2018&price_id=18250700
Franz Haas,Manna Schweizer 2018,Italy,Südtirol - Alto Adige,4.1,94,https://www.vivino.com/franz-haas-manna-schweizer/w/1313839?year=2018&price_id=21666071
Château des Rontets,Clos Varambon Pouilly-Fuissé 2017,France,Pouilly-Fuissé,4.1,88,https://www.vivino.com/rontets-clos-varambon-pouilly-fuisse/w/1540647?year=2017&price_id=20460854
Villa Matilde,Tenute di Altavilla Greco di Tufo 2018,Italy,Greco di Tufo,4.1,88,https://www.vivino.com/it-villa-matilde-tenute-di-altavilla-greco-di-tufo/w/1595818?year=2018&price_id=18875425
Domaine de la Pinte,Savagnin Arbois 2015,France,Arbois,4.1,85,https://www.vivino.com/pinte-savagnin-arbois/w/1558256?year=2015&price_id=18664742
Lungarotti,Brezza Umbria Bianco 2019,Italy,Umbria,4.1,84,https://www.vivino.com/lungarotti-brezza-umbria-bianco/w/65254?year=2019&price_id=20190569
Lucien Crochet,Le Chêne Marchand Sancerre Blanc 2016,France,Sancerre,4.1,83,https://www.vivino.com/lucien-crochet-le-chene-marchand-sancerre-blanc/w/16676?year=2016&price_id=18965336
Albino Armani,Pinot Grigio Valdadige Terradeiforti Colle Ara 2018,Italy,Valdadige Terradeiforti,4.1,82,https://www.vivino.com/albino-armani-viticoltori-dal-1607-pinot-grigio-valdadige-terradeiforti-colle-ara/w/1582868?year=2018&price_id=19635792
Dr. Loosen,Riesling Kabinett Erdener Treppchen 2018,Germany,Mosel,4.1,79,https://www.vivino.com/dr-loosen-riesling-kabinett-erdener-treppchen/w/1135773?year=2018&price_id=20283894
Amisfield,Pinot Gris 2017,New Zealand,Central Otago,4.1,78,https://www.vivino.com/amisfield-pinot-gris/w/1783313?year=2017&price_id=21422339
Tramin,Stoan 2018,Italy,Südtirol - Alto Adige,4.1,76,https://www.vivino.com/tramin-stoan-alto-adige/w/2055461?year=2018&price_id=20448772
Strasserhof,Kerner 2018,Italy,Trentino-Alto Adige,4.1,74,https://www.vivino.com/strasserhof-kerner/w/1293643?year=2018&price_id=20522343
Champalou,Les Fondraux Vouvray 2017,France,Vouvray,4.1,71,https://www.vivino.com/champalou-les-fondraux-vouvray/w/1986734?year=2017&price_id=18648721
Domaine Weinbach,Clos des Capucins Cuvée Theo Riesling Alsace 2018,France,Alsace,4.1,69,https://www.vivino.com/domaine-weinbach-clos-des-capucins-cuvee-theo-riesling-alsace/w/13575?year=2018&price_id=19702845
F.X. Pichler,Loibner Federspiel Grüner Veltliner 2018,Austria,Wachau,4.1,69,https://www.vivino.com/f-x-pichler-loibner-federspiel-gruner-veltliner/w/5972593?year=2018&price_id=19344794
Nals Margreid,Lyra Gewürztraminer 2013,Italy,Südtirol - Alto Adige,4.1,66,https://www.vivino.com/nals-margreid-lyra-gewurztraminer/w/1563134?year=2013&price_id=11159337
Murgo,Tenuta San Michele Etna Bianco 2017,Italy,Etna,4.1,66,https://www.vivino.com/murgo-tenuta-san-michele-etna-bianco/w/1595990?year=2017&price_id=18875441
Louis Latour,Chablis 2018,France,Chablis,4.1,65,https://www.vivino.com/louis-latour-chablis/w/1791009?year=2018&price_id=19531207
Valdesil,Pezas da Portela Godello 2016,Spain,Valdeorras,4.1,65,https://www.vivino.com/valdesil-pezas-da-portela-godello/w/1927931?year=2016&price_id=13434996
Castellari Bergaglio,Rovereto Vigna Vecchia Gavi di Gavi 2016,Italy,Gavi,4.1,64,https://www.vivino.com/castellari-bergaglio-rovereto-vigna-vecchia-gavi-di-gavi/w/1783500?year=2016&price_id=18818568
Terras Gauda,La Mar 2017,Spain,Rías Baixas,4.1,64,https://www.vivino.com/terras-gauda-la-mar/w/1473982?year=2017&price_id=20183631
Masseria Frattasi,Donnalaura 2018,Italy,Taburno,4.1,61,https://www.vivino.com/it-masseria-frattasi-donnalaura/w/1273880?year=2018&price_id=19444140
Terre di San Vito,Apeneste Sauvignon Blanc 2018,Italy,Puglia,4.1,60,https://www.vivino.com/terre-di-san-vito-apeneste-sauvignon-blanc/w/5316716?year=2018&price_id=19124183
Prà,Colle Sant'Antonio Soave Classico 2015,Italy,Soave Classico,4.1,60,https://www.vivino.com/pra-colle-sant-antonio-soave-classico/w/23583?year=2015&price_id=17654813
Weingut Knoll,Loibner Chardonnay Smaragd 2017,Austria,Wachau,4.1,59,https://www.vivino.com/weingut-knoll-loibner-chardonnay-smaragd/w/1911262?year=2017&price_id=17342194
Suertes del Marqués,Vidonia 2018,Spain,Valle de la Orotava,4.1,58,https://www.vivino.com/suertes-del-marques-vidonia/w/1595719?year=2018&price_id=20236655
Apollonio,Laicale Chardonnay 2013,Italy,Salento,4.1,57,https://www.vivino.com/apollonio-casa-vinicola-srl-laicale-chardonnay/w/2456351?year=2013&price_id=7455450
Claude Riffault,Les Chailloux Sancerre Blanc 2017,France,Sancerre,4.1,55,https://www.vivino.com/claude-riffault-les-chailloux-sancerre-blanc/w/1251192?year=2017&price_id=17599307
Nals Margreid,Lyra Gewürztraminer 2017,Italy,Südtirol - Alto Adige,4.1,55,https://www.vivino.com/nals-margreid-lyra-gewurztraminer/w/1563134?year=2017&price_id=18875097
Bera Vittorio e Figli,Arcese Bianco 2016,Italy,Piemonte,4.1,55,https://www.vivino.com/bera-vittorio-e-figli-arcese-bianco/w/1170991?year=2016&price_id=13500891
Eulogio Pomares,Maceración Con Pieles 2016,Spain,Rías Baixas,4.1,55,https://www.vivino.com/eulogio-maceracion-con-pieles/w/4321994?year=2016&price_id=14174831
Taschlerhof,Kerner 2018,Italy,Trentino-Alto Adige,4.1,54,https://www.vivino.com/it-taschlerhof-kerner/w/3118933?year=2018&price_id=18317532
